selected_text_processed,sentiment
love lately,positive
want go happy lemonade put dont,neutral
chill,positive
come home long saw tweetie wakil usually announce,neutral
create new want like get do,neutral
apparently fewfffff suck,neutral
dress sunday see fishy,neutral
pretty weird think itï¿½s,neutral
alone still watch tww eat italian solve logic,neutral
wish around hopefully wake racism exist anymore,positive
hope fell better,neutral
finally kurang shoot nih huaaaa stress,neutral
fantastic,positive
much get do,negative
serious technical oh well thank,neutral
good totally worth sleep,positive
get sumthin special know,neutral
rivet,positive
finally get teach clear,positive
finish curl finish get ready put,neutral
pray dont reflux one,negative
stupid miss,neutral
try sweet lil totally nerding totally ok,neutral
awww,positive
ive burn like kid red,negative
think guess,neutral
sadly,negative
go know feel ready back mountains go back till,neutral
leave,negative
miss,negative
hahaha yes always seem around randomly,neutral
close,neutral
bore,negative
x annoy,negative
good,positive
like much,positive
great,positive
could alter,negative
sadly,negative
expire,negative
bad,negative
welcome worst say,neutral
nice,positive
still go hungry,neutral
bad,negative
whoa mean sleep,neutral
sleep,neutral
go however mb plan picnic neil,neutral
leave,neutral
sit wish didnt ask still,neutral
spell correctly look wrong,neutral
better,positive
le,neutral
easily live,positive
great find lag post small,neutral
get back first exam long,neutral
great,positive
amaze still talk,positive
head go buy much need mia,neutral
feel,positive
sleep much fail next make better,neutral
good,neutral
nice,positive
ohh ok,neutral
good,negative
save,positive
great,positive
know write exam essay,neutral
din peru double,neutral
om nom,positive
tidy hoovered whole flat head german follow,neutral
favourite favourite creepering really lo,neutral
gremlin asleep particularly challenging think safe go bed crazy sit,neutral
ironically think go head intend every go away soon,neutral
best,positive
good good enough,neutral
gps want,neutral
relax,positive
happy pull yummy garden turn still,neutral
happy,positive
ross,neutral
u,positive
sick,negative
allergic,negative
back,neutral
bore,negative
another one,neutral
soooo full start sick,negative
u vote live na u u,neutral
happy may british,positive
go derny see eric,neutral
get sick,negative
happy fabulous,positive
noooo miss much,negative
love,positive
see either get vacuum,neutral
great,positive
like go front behind,neutral
oh,positive
get fever cnt,negative
agh realize play bear one,positive
feel good,negative
take little find cant work,neutral
glorious poor,neutral
really disappointed whole promiscuous girl think waste,neutral
still,neutral
last,positive
better,positive
drag,negative
finally get lil could run get ta,neutral
late,negative
actually play pohaku lol play earlier spin,neutral
psst new,positive
u feel urself much cant say,negative
go go london would right,neutral
twitwoo,neutral
steph age get internet back try like act,neutral
sad,negative
never get,neutral
miss,negative
tuck tonight,neutral
see go,neutral
sore,negative
goodmorning,positive
irritate,negative
want go back,neutral
great,positive
want like caine,neutral
focus,positive
good,positive
prerecord ask lead front,neutral
happy,positive
watch uninvited go go first,neutral
turn loooong get new u edition esquire go could one look like fox,neutral
also want miss much get,negative
upload new,neutral
read lose,neutral
even get,negative
go pick early see go whole,neutral
hard good,neutral
good,neutral
good funn,positive
get attacked,negative
better,positive
look forward gymming start bawas le rice,neutral
like go,negative
like,positive
nice,positive
get back rachael,neutral
without adam,neutral
sleep soundtrack,neutral
like,negative
go,negative
new desperately want flick much,negative
shock happy,neutral
see,neutral
fabulous,positive
much,positive
would love,positive
adore,positive
whole,negative
still,negative
starve,negative
saddest ever,negative
make happy run,positive
pray rosary,neutral
look forward,positive
really wish already do write think like,positive
go,positive
wish bless beautiful,positive
miss,negative
snapppp find twitter lollll,neutral
send ur old ur date,neutral
play russian,neutral
best,positive
first bat,neutral
good,negative
good love,positive
happy,positive
lold,neutral
facebook come ur,neutral
steigy hun obamas watch,neutral
happy,positive
feel good,negative
get burn,negative
oooh ok lose,neutral
happy,positive
direct,neutral
sweet try earn crown free,positive
laptop arrive,neutral
sure chat sec,neutral
ugh much happen really need,negative
much wait come cant get workdone,neutral
tell go afterparty go,neutral
see band live come uk na go see billy bragg,neutral
wrap dabble,neutral
try direct,neutral
last go,neutral
hurt much,negative
would pretty creepy think bit innocent want sell,neutral
happy,positive
oh wrong ok,neutral
nice,positive
still duff,neutral
postpone abandon,neutral
look shoot thursday interested,neutral
moral,positive
come,neutral
could get work pay per,neutral
great,positive
scar,negative
kellie u horrible,negative
happy,positive
go perfect go,positive
good,positive
hows go let u know go,neutral
really good,positive
u tell know anymore,negative
miss,negative
great,positive
exhaust,negative
amaze,positive
look forward,positive
say mom digital bout scan wed n,neutral
earlier sweat know much look forward work,negative
good say except tuesday put write,neutral
ernman united,neutral
looked stuff,neutral
good,positive
look beautiful heck,neutral
excite,positive
awwww unfortunately close sweden friday,neutral
sorry hear though,negative
like,positive
curve take gash get invisible well good,neutral
good,positive
big,positive
never even email back,negative
good,positive
rain,neutral
quite nice,positive
get sick great,negative
get melted hear,neutral
last work,neutral
least happy come,positive
could never one look happen nina zavaroni brooke draw barrymore,neutral
good,negative
sing long amandas give crystal,neutral
great wonderful first,positive
friday whole different,neutral
amaze socialily naiv,neutral
seem,negative
let hope make good,positive
go,negative
wont,neutral
slowly get ready,neutral
awww yes love,positive
totally owe,positive
fish pain yes say new,neutral
finish new soon youtube keep updated,neutral
grand,positive
toe cross u ur well get back safe poor,neutral
make,negative
hurt,negative
bad,negative
find,negative
edward cullen,neutral
yeah love one really matter,neutral
invite send invite pass,neutral
might drive maybe get one,neutral
new,neutral
realize last go move lose go forever,neutral
u na miss u,neutral
know,neutral
still gutted lose,negative
happy beautiful,positive
happy,positive
remember watch many lol get back,neutral
hop,positive
ilove,positive
maybe,neutral
early,neutral
could find one,negative
ï¿½ nh n unpaid leave,neutral
follow,negative
ok true plus insulting say insult try,negative
url look good,positive
hop na go,positive
like,negative
piss,negative
saw diet much protein want,neutral
wish happy u,positive
yes next,neutral
another,negative
die,positive
nice,positive
u far know hee hee first,neutral
love,positive
ouch burn make,negative
hurt bad,negative
look forward,negative
tweeten tix nkotb,neutral
great,positive
get lovey return love another also know ur,neutral
secret real,neutral
freeze rain,neutral
bad,negative
please come paul look close anytime soon,neutral
annoy,negative
tiny,neutral
listen,neutral
best,positive
tire,negative
free though,negative
well ask ago say hold back saturday,neutral
tire,negative
ive finish uni go soooooo,neutral
may right,positive
happy,positive
want,neutral
great,negative
bad crutch lead,neutral
live,positive
look new send get free every,neutral
sleep draw neuroanatomy,neutral
beat,neutral
one,negative
enjoy,positive
oh suck hardcore haha good finish record,neutral
u,positive
send u,positive
w much private,neutral
better,positive
okay dont know still isnt,neutral
miss could barely contain amazingly good,neutral
go one,neutral
little right,positive
would love live,neutral
take park,neutral
believe die right happen still,negative
sure,neutral
bad,negative
go back,negative
watch far,neutral
come first shift local,neutral
maybe know though,neutral
oh every often get random make go eww,neutral
find amuse rubiks tonight,positive
horrible,negative
sicken,negative
make great trip good,negative
bad,positive
want amber,neutral
make yet spread din,neutral
find purse,neutral
happy,positive
ur iznt nice,neutral
mother happy love help much,positive
await,positive
mean break get do,negative
quite,neutral
last funnest ever also really sad ow get ready go moab,neutral
wish go st,positive
get tire transatlantic good either,negative
link,negative
wrong,negative
fourteen later still worst allergy shoot engagement last,negative
follow,neutral
sure lunch next,positive
best,neutral
fraktastic tweet around last,neutral
good,positive
stupid,negative
pinch,negative
keep try get right last,positive
negative,negative
feel deflate saw swing set piece think found good,neutral
badly,negative
write manage fetti much,neutral
completely break,negative
worried,negative
send feed republish,neutral
true,positive
really cringe worthy though find entertaining,neutral
drive run late like always,neutral
one snuggle,neutral
happy,negative
go back see ya u leave,neutral
little sweet leigh good ho,positive
know inside scoop kwod u,neutral
argue,negative
miss,negative
tire,negative
like go,neutral
like,negative
happy,negative
excite,positive
retard,negative
tire,negative
anime iat go crazy wish,neutral
take nap felt soooo good seem like bad,neutral
happy,positive
might hav u,neutral
go dinner,neutral
great,positive
soft,positive
happy,positive
well poop cancel sad better soon tho,neutral
miss much,negative
change screw assignment due start cant,negative
unofficially provide could want geelong,neutral
probably wish take top haha fricken hot,neutral
gd see n,neutral
know anyway ok,neutral
like translated swedish get take next,positive
get back gym na chat new let talk,neutral
go buy know want,neutral
like,positive
back,neutral
last get,neutral
think na follow back,neutral
hayward go two,neutral
mandy let want gon na jump kid,neutral
study,neutral
happy,positive
ok might,positive
go,positive
cold kill,negative
good,negative
sunny,neutral
think need drink,neutral
know hop meet tonite find ago mutual,neutral
bore,negative
never wait,neutral
never en,negative
change go online see,neutral
hot,negative
feedback,positive
pay go gettin hot go outside,neutral
well do hot,neutral
soon back replace,neutral
international,neutral
glamorous,positive
good,positive
happy,positive
go,negative
great,positive
exams,neutral
totally agree,neutral
tough,negative
bum,negative
hopefully,positive
like alone handheld,positive
happy,positive
happy back hurt,negative
may,neutral
feel special,positive
best,positive
na read new moon little late,neutral
push start long new bear,neutral
happy,positive
like,positive
c mon almost,neutral
til,neutral
kuya,neutral
indian true get color complete,neutral
pathetic,negative
new say,neutral
mum do need make good luch amaze mum,positive
ready,positive
get close,neutral
sad sad,negative
july concert know oh well yay,neutral
get even sad,negative
amazing,neutral
hooome still,neutral
fantastic,positive
oh,negative
productive,positive
lovely sky clear sing stuck windows,neutral
downtown celebrate,positive
one take earlier,neutral
french new since paris,neutral
great,positive
like,positive
move pep rally cheer,neutral
best,positive
well good make bad,neutral
big small yay free big,neutral
find,negative
happy w,neutral
love,neutral
always feel sickly well get busy ahead,neutral
tease,neutral
lonely,neutral
ahh poor,negative
happy,positive
gun even goin nothin strong,neutral
good lick hot asian bad remind never get asian ever,neutral
good,positive
know yet lem know come though,neutral
piss,negative
good,negative
hard hope like say,positive
screw,negative
clearly need crack,negative
bad,negative
happy,positive
take nap able sleep,neutral
three,negative
hunt lucky know,neutral
ily,positive
help,neutral
really want buy new,neutral
age,neutral
like,positive
sorry blanket wonder rush,neutral
maybe someday come find gasp,neutral
na see want see,neutral
finally nishiki,neutral
kill,negative
disappointed,negative
get text hen get nae come livi anyway xxxx,neutral
round fast fast,neutral
great happy,positive
want,negative
dont say,neutral
great,positive
impressed almost always rain stil free,negative
one mow around could hurt,neutral
sure worth,positive
dumb,negative
try bing operational yet,neutral
even watch go saturday funeral,neutral
excite miss p last make sad,neutral
follow,neutral
one survive good,positive
happy,positive
wont,negative
happy,positive
fretful look okay think mumble muffle hat sound like lactose,neutral
actually progressive study,neutral
get sick,negative
spent much already,negative
tough,negative
naa like really friend,neutral
low,negative
great,positive
bad,negative
great love extra,positive
noooo little vote anyway hmpf need hang soon pls,neutral
get watchin top,neutral
bore one miss,negative
yup older,neutral
bad,negative
confsuing,negative
like,negative
happy,positive
thennn sexy,neutral
head,neutral
bad,negative
happy,positive
literally amazi,positive
switch,neutral
interest,positive
haha baka naglilihi lang,neutral
exspecially mine,positive
tafe actually quite good,positive
go,negative
tire look forward tabletop constant,neutral
want,neutral
spent troubleshoot even within always mean high,neutral
still feel,negative
e painful poor,negative
long,neutral
u super beautiful likely unavailable,neutral
go sleep email back,neutral
love,positive
next terminator na,neutral
wish give one last,positive
nice,positive
say,negative
get ready,neutral
make sad though,negative
indeed,negative
watch,neutral
change,neutral
know drink get go,neutral
play,neutral
hard hope great get,neutral
best,positive
well,neutral
like best,positive
like delicious,positive
look,positive
think think manage,neutral
cant send bebo,neutral
good one also,positive
raise,negative
go back,neutral
rise release thursday na get,neutral
l forward,positive
na fail,negative
red hopefully,positive
better go put even warm moveable,neutral
happy,negative
still sick still love revenge come,neutral
finally go get finish back,neutral
good,positive
happen yes come say,neutral
follow,neutral
welcome much longer color,neutral
hope,neutral
bad,negative
productive lot write later,neutral
feel anxious,negative
na,neutral
would love,positive
grill last senior final hot grill vegi,neutral
spam really cover mine almost enlargement,negative
bad new,negative
get smile,neutral
happy keep,neutral
outside wont stop ring asbos,neutral
buy cheap,neutral
love,positive
watch,neutral
still work,neutral
awake go ready,neutral
sometimes receive,neutral
write,neutral
hot upstairs break really hot,negative
still work oh wait saturday already,neutral
best disappointed last cut short full,neutral
didntb even let,neutral
gina thomas u keep run u,neutral
much,negative
eww gross keep look weird another smile ask,neutral
disgust,negative
yes non,neutral
extremely clever,positive
bore,negative
even read online,negative
pass test wait october,neutral
aww sweet glad happy,positive
incredibly wealthy,positive
really like,positive
important,positive
want read read,neutral
u doin u,neutral
good,positive
stop wid u u think fair,neutral
watch,neutral
jump nearest,negative
last much front make laugh much,neutral
another one bite,neutral
full delicious one philly favs,positive
wait amy go see hannah,neutral
yet never texted,neutral
smile follow,positive
lucky sore couch,neutral
omg supernatural good,neutral
good cold,neutral
wake full sick top go run go back,neutral
go would like also home base one soon,neutral
good,positive
bore excite,neutral
go ya later,neutral
settle cheap,negative
hop another disaterous ferrari get another deserve,neutral
keen,positive
noticed right maybe send would handy,neutral
fr saw square read,neutral
nice,positive
lock mac twice ok literally twice,neutral
new,neutral
load love,neutral
well,neutral
happy,positive
really really bored,negative
cold,positive
miss last,negative
wash hurt worth really want skin,neutral
another ta,neutral
start gon na watch opt go another instead,neutral
happy well,positive
good anyway,negative
know,neutral
bore,negative
go kirsty get,neutral
say aloud,neutral
happy,positive
disappointing,negative
make,negative
stupid,negative
super nice,positive
make magically worry sigh,neutral
excite,negative
go get,neutral
listen,neutral
suppose,neutral
amaze,positive
forward,positive
tire,negative
starve,negative
get one,negative
happy,positive
good hop throw back like,neutral
lovely,positive
like,positive
relax,positive
see look say love give one,neutral
good,positive
good go get do,positive
happy,positive
latest indian kinda download view,neutral
poor hilly,negative
notice,neutral
little upset,negative
wonderful get meet though,neutral
go,neutral
im anymore,negative
forgot live facebook,neutral
go due burn,negative
little,neutral
dream think,neutral
alright really wish could do show go one,neutral
know,neutral
try know,neutral
good enjoy eventhough boring,neutral
ahhhhh well least,neutral
bother,positive
anthem right leave high,neutral
certain talk cafe think question,neutral
stress,positive
love soo much,positive
want let say get ready,neutral
great,positive
watch,negative
see go maybe head back oct go want bday,neutral
since get flood htown get repair,neutral
get take ask,neutral
raw,negative
hopefully,positive
love right ask happy,positive
talk,neutral
happy,positive
real find many want happen hundred,neutral
dear hope save,positive
enjoy,positive
certainly,neutral
since back,negative
happy boo,positive
bad,negative
gawd,negative
njoying,positive
poor,negative
would better,positive
love good,positive
let tire take pain happy without,neutral
call dangerous fit stupid,negative
happy,positive
good,positive
good,positive
really want one probably may able get one,neutral
love much make smile special u scar,neutral
show good,positive
want bad miss gumbo,negative
actually accord least,neutral
know use become cool,neutral
always nice,positive
come along,neutral
ruin,negative
feel really sick still hurt,negative
looooong tomo,negative
wrong,neutral
pretty spectacular,positive
kill,negative
bad,negative
wait,neutral
also,negative
go well weather stay good right bed train,neutral
sure,neutral
want sign germany,neutral
please,neutral
bad,negative
top,positive
invite yall either playin tell u quiet,negative
carnt hot,negative
drink izzy,neutral
stop try,neutral
lucky,positive
cry,negative
sometimes hate talk dead,neutral
like want back,negative
sorry cooperate,negative
crawl,neutral
go third,neutral
cold million wash,neutral
tire,negative
believe,positive
sneeze frequently,neutral
suffer drowsy much,negative
new cancel available,neutral
physically move apparently report directly mr,neutral
go still new,neutral
happy,positive
still sore tire,negative
around long,positive
miss,negative
good get ready go hospital cat scan best,positive
go,neutral
uff hard go old,neutral
also lonely could go audun bad,neutral
healthy,positive
ohh tell bout couldnt munch run low,neutral
want future like well ever get,neutral
alright pal bored bore really wan na go somewhere,negative
etc release later,neutral
trap,negative
quickest get seat london currently pretend loudly,neutral
delicious,positive
great,positive
good,positive
thx think easy cold call aweful,neutral
feel right anymore,negative
one slip right,neutral
misplace,negative
happy,positive
tuesday long still get,neutral
look forward push,neutral
throw mouth lil leg,neutral
great,positive
lol,neutral
make sic,neutral
hard,negative
tire,negative
get update need go run,neutral
always leave behind,negative
obsess,positive
wake early,negative
stay positive goodnight,positive
think ff anyways want maybe caturday though,neutral
one love forget,negative
crazy play nice anymore,negative
wish happy,positive
watch gon na make iced,neutral
please dont,positive
say ready write else well know u,neutral
die,negative
sad,negative
need one,neutral
cry,negative
like great,positive
na roc,positive
happiest,neutral
classic even,neutral
dress pretty,neutral
sweetest loveliest say make smile,positive
go use fast,neutral
exactly like,neutral
finish,neutral
make great lower move fast ï¿½ via,neutral
good,neutral
im good,positive
go,neutral
depressed,negative
know get yet,neutral
end,neutral
watch next,neutral
lovely,positive
yes,neutral
great,positive
go til,neutral
late go concert think yes boo,neutral
na work,neutral
happy,positive
depress lonely unhappy,negative
tuck,neutral
kerk one,neutral
watch la rosa de guadalupe damm true make fun,neutral
fab new,positive
lol disturb love,neutral
change,neutral
bed two,negative
scar scar maybe deal,neutral
need go amy finish say,neutral
save,positive
poor,negative
copyed reply write,neutral
good,positive
pleasant,positive
right must sew bye,neutral
worried,negative
prove rather lovely,positive
call answer quite slowly girl kaleidoscope yeah im norma,neutral
bad,negative
oh see really get go lol like great,neutral
know pretty sure,neutral
dread,negative
nd good,positive
happy,positive
ugh,negative
yes koi baby well biggest almost long,neutral
head head next head later yeah pretty much,neutral
still nightmares,negative
go without skype,neutral
good,positive
get,neutral
send ya,neutral
go bed beat hold,neutral
still work,negative
find,negative
dream,neutral
think na show,neutral
try dang hardest finish,negative
awww,negative
nice german na get counting,neutral
ok shall wash,neutral
nice,positive
woot,neutral
make,neutral
dream reality,neutral
slow,negative
play ride delish,neutral
bring yself go achievement,neutral
miss try stay awake sleep,neutral
higher,positive
guess take,neutral
definitely pillow,neutral
last,negative
brown,neutral
pretty,positive
keep long ffwd like w,neutral
wait,neutral
ing,positive
ok,neutral
suspend,negative
harder,negative
cos,neutral
omg,neutral
find look,positive
call shall try,neutral
apologize uk go never tour,neutral
refuse,negative
pretty hammer drunk two,neutral
tire,negative
make,positive
well,neutral
would still involve stand lol high na go,neutral
do,negative
make,negative
either remember,neutral
know hannah montana concert,neutral
recommend,positive
depress stuck inside,negative
okay one ears pop know like,neutral
saw really tickle,neutral
look forward,positive
try add name pop,neutral
sorry either url,negative
sorry hear terrible,negative
oh wish,neutral
sad,negative
would like macaroni cheese,neutral
back,neutral
good,positive
get sing mic say,neutral
get go,neutral
get lazy stop,negative
sad end,negative
oh beautiful,positive
send one surround,neutral
good,positive
could come make gigantic move closer portland,neutral
oh,positive
taipei free,neutral
like,negative
wish,positive
neuroanatomy,neutral
little u england,neutral
ded tonite,neutral
local,neutral
yet ate reeces hard nz,neutral
one million,neutral
easy,positive
hop,positive
get ready dessert,neutral
already do wash,neutral
lemonade,positive
oh good pierce bottom right,negative
best,positive
turn,neutral
cake oven go make domestic,neutral
straighten,neutral
pop last one take,neutral
work,neutral
go watch live least finish early,neutral
laugh,positive
rain,negative
stupid,negative
yea workaholic,neutral
sorry hear bad happy find new soon,neutral
cant may u better,neutral
feel guess always meme,neutral
annoy,negative
like,positive
get info think na let go cp still wan na go,neutral
good,positive
set long grueling almost also sent longer communicate,neutral
wake early enough go contrary tributary endlessly,neutral
oh ok guess next,neutral
big black,neutral
omg,negative
nice positive,positive
ago,neutral
lovely twitts never respond,neutral
well thank,positive
actually adorable ooh dude,neutral
geek think alike,neutral
lose favorite,negative
like,positive
give good,positive
good,positive
want,neutral
best,positive
start feel bad,negative
lol,positive
good,positive
one,neutral
new stripey top,neutral
want go,neutral
u awful last,negative
definitely one,positive
wan na,neutral
lol stop hook,neutral
want get show elgin get n,neutral
buy one know want,neutral
na go,negative
illustrate hard make great wrap around one,neutral
luckily,positive
really good excellent,positive
sad,neutral
foking,negative
really hop one last mean,neutral
wan know wan know,neutral
sweet,positive
sure bake though,negative
spend mother,neutral
look forward,positive
happy,positive
real bad,negative
hang,neutral
finish jour,neutral
sigh always disappoint get might disappoint else,negative
tire,negative
enjoy,positive
always last one especially friday,neutral
hard find good,negative
bed,neutral
poor meltdown barcelona walk throw face,neutral
find sitter saturday,negative
ianne leave side see u,neutral
awe hope,positive
irma really,neutral
heavenly donuts like heavenly,neutral
need serious cheer,negative
long,neutral
scar,negative
still guess want,neutral
hopefully,positive
one love,negative
melt ice,negative
whatever,neutral
nice,positive
hear steph hope improve soon,neutral
really dont like,negative
remarkably much anymore,negative
stupid,negative
reply seriously refresh,neutral
absolutely hilarious,positive
kill,negative
relax,positive
come overhere dutch might go,neutral
bum,negative
stick,negative
keep good,positive
positive,positive
neighbor get new,neutral
oh hun fine drive ho back,neutral
long,negative
amaze,positive
good,positive
like,negative
ur also naina,neutral
amaze,positive
hun im sure though seem sweet,negative
adsense,neutral
hear,negative
bum,negative
dave play happy nkotb bday lonely bday,neutral
nice,positive
see online u pleeez fellow,neutral
wow purple,neutral
want see tour,neutral
tire,negative
top woot,neutral
love ya guy cab see another awesome soon,positive
definitely challenge curl tin moisturiser tip come glossary,neutral
earliest cry go back sleep must resist shower,neutral
wrong,negative
better,positive
bother,positive
curly atm want mine,neutral
get although religious think let one,neutral
gallore ftw yes kayleigh write email u,neutral
na irish,neutral
two pack clean three go,neutral
yet complete,negative
listen back around go swim,neutral
single,neutral
think somewhere probably old though,neutral
do,positive
dragonforce,neutral
like go,positive
get,neutral
tell,neutral
lonely without,negative
anyway could forgive,negative
first,neutral
brown look black least red would look like stain,neutral
excite,positive
correct,positive
impressive best hope serious,neutral
pretty happy change past definitely best,neutral
lol u get ac right know get n,neutral
stop overheat,negative
happy well good one,positive
good,positive
good,positive
get do,neutral
ut want,negative
scarred,negative
relax,positive
back,negative
actually omg apparently relative go,neutral
follow,neutral
sorry deep know love,neutral
award,positive
make want text silly maybe ring later,neutral
nice,positive
give go,neutral
amaze,positive
north im rather million,neutral
already,neutral
light like go get do,neutral
come full,neutral
na get dressed,negative
watchin want mom,neutral
like,positive
good,positive
win give free know anythin,neutral
back top extract swollen numb,neutral
best,positive
finally arrive mean picnic instead wolftrap tonite,neutral
work,neutral
aye like cinnamon,neutral
wait back cripple seem kinda quiet,neutral
laugh,positive
know feel,neutral
twitter view,neutral
lucky,positive
cant soon,positive
haha nice let know,positive
festive,positive
try,positive
scar,negative
feel lonely,negative
u surf,neutral
nice,positive
follow,neutral
happy,positive
fall,negative
woke really late breakfast plan stay,neutral
closed animal,neutral
happy,positive
cancel another friday,neutral
read go thunderstorming pick bus stop,neutral
amaze,positive
really well,positive
bad,negative
sandwhich since meet sushi,neutral
also want see hd wait,neutral
great,negative
oyy geas,neutral
btw scotland live never get visit uk live,neutral
yet leave,neutral
happy,positive
happy,positive
happy mum,positive
leave alone accept,positive
lose,negative
oh hehe,neutral
watch parental,neutral
unc may rise,neutral
nice,positive
follow,neutral
dayuumm hard,negative
like love,positive
fastest,negative
definately paris get certainly,neutral
bigi tokyo,neutral
le close maybe rich pass well,neutral
take,neutral
happy,positive
actually friend give lol u know convert,neutral
enjoy,positive
earlier didnt get see,neutral
really love,positive
well,negative
head quick corsen book,neutral
promise,positive
self wear,neutral
evrytime listen remind mojojojo,neutral
cry,negative
badly,negative
without assistant next,neutral
sweet,positive
block,negative
oh vote already vote earlier,positive
even spf need put face spf full,neutral
never due unhealthy get burrito chipotle feel right without,negative
pretty cool,positive
lovely sunny,positive
one,neutral
fastest,positive
great look fantastic,positive
ugh need,neutral
sleep,negative
guess much nice relax happy,neutral
great,positive
add memphis visit need hot icon new,neutral
watch,neutral
dont want,neutral
work due,negative
use hot meet cincinnati well,neutral
know better,positive
early,neutral
also early ur want,neutral
best,positive
need move ny sanfran seattle,neutral
watch click im na get ready,neutral
finish,neutral
nice,positive
do,neutral
nice,positive
get home count till friday,neutral
watch,neutral
ugh,negative
wonderful,positive
come back fb get twitter,neutral
together,positive
enough one properly defrag nowhere else put stuff reassemble,neutral
try tonight see social w stay home,neutral
miss,negative
sooooooooooo much better,positive
good,positive
happy,positive
really well,positive
oh,negative
would happy receive card u heheee,positive
know love best,neutral
patrick say,negative
come,neutral
worst,negative
tighten,negative
looked bgt may hibernate,neutral
ok go camp mad,neutral
hmm sleep,neutral
sick,negative
suck,negative
follow see online,neutral
ca,positive
medhurst,neutral
like get one look good go go,neutral
well,negative
bore,negative
nice,positive
like like fish really enjoy,neutral
japanese order japanese usually sushi cambodian,neutral
get ready,neutral
left,neutral
wish,positive
happen get,neutral
well evernote give away wireless thm tweet,neutral
stuck wear,negative
really good,positive
hot sit na,negative
last lol,neutral
aww jon thoughtful,positive
make,negative
wrong,negative
instal far mushroom yet,neutral
think compose maybe one,negative
awsome bore nothin really consider go back right rather cry,neutral
tire,negative
magical,negative
forward,positive
kinda,positive
go take quite easy actually great take go later,neutral
true,positive
go green follow remove,neutral
like,positive
poor think,negative
leave go tennis later,neutral
watch youtube funny david oh talented,positive
could,positive
good,positive
like,neutral
really good,positive
scratch,neutral
get ready go,neutral
love little complicate,neutral
nice,positive
happy,positive
trick,positive
suck,negative
happy get back run soon,positive
keen take rarely land,neutral
urgh nice though still sleep,neutral
ca get see paniniii,neutral
early cram yay leave,neutral
omg thank much see yet love new phoenix bad come,neutral
replace almost half mb,neutral
monday honour,neutral
check library check,neutral
wrong,negative
happen,neutral
really good,positive
back almost last bend,neutral
happy,positive
never change,negative
okay really good,neutral
exactly,neutral
hang,positive
happy,positive
areply facebook little upset,neutral
need see bad get ta,neutral
work anymore,negative
rather outdated bigoted worst outdated patronise imperialist best,negative
apparently big pass seat,neutral
go fb find im alien one alien allow fb miss yew,neutral
never send,neutral
make red pretty good frost,positive
pretty bad,negative
still take next get disconnect get,neutral
wholeheartedly agree,positive
really bad,negative
sooo much,neutral
lose,negative
understand save defo uggo,neutral
really look back,neutral
see,neutral
happy,positive
another,neutral
easier,positive
first sad go,neutral
keep,negative
sadly,negative
nice,negative
probably go,neutral
jealous,negative
pester army mumbai airport hold much leave,neutral
say yardhouse waikiki dj,neutral
make shower later,neutral
like say make awesomely happy,positive
soooo pretty,positive
confuse,negative
lookin via watchin latest friend bed call though,neutral
great,positive
take na happen,neutral
italian,neutral
leave back,neutral
follow,neutral
happy love,positive
surprisingly well consider good,positive
never surprise,neutral
much,positive
good,positive
good,positive
really good,positive
sleep properly,negative
wake,neutral
reduculous,negative
follow pay little ol,neutral
really lovely,positive
eat get ready go,negative
sad lucky enough realize park,neutral
wish famous,neutral
mad go miss take eff fly,negative
happy,positive
long,negative
anxious,negative
hopefully,positive
happy happy may,positive
relax,positive
get look,neutral
totally amazing,positive
best,positive
instal vcenter server w,neutral
ngh,neutral
make,positive
finally do,positive
yeah realise organiser perform drink tight malaysian n,negative
great far go run blue retail,neutral
happy,positive
interest,positive
u much,positive
nice stick revise,neutral
need want,neutral
answer,neutral
biggest,positive
dead sure,negative
big,neutral
starve,negative
though need find regular,positive
much see good think go bed soon hot,neutral
welcome,positive
still follow,neutral
slept exhaust high far wake good fry,neutral
ah,negative
wating next,neutral
device,negative
miss,negative
look see yellow far blue,neutral
take cutest use bro fancy want,neutral
work watch,neutral
like somthing,neutral
really brave,positive
say hi sing,neutral
bum f break,negative
brilliant sure brownie get though,positive
dam wish could frikken follow,negative
get serious,negative
holiday many open,neutral
extend littttttle,neutral
nope,neutral
alough,neutral
come back,neutral
miss,negative
scary,negative
aww,positive
another,neutral
angry,negative
hot,positive
happy,positive
pitty arnd rlly wet otherwise wed lot face,neutral
go know yet,neutral
get full,negative
english finally finshed annnd comm final do whoa,neutral
quiz show plus tommy free,positive
miss,negative
umm,neutral
oh nice wonderfully relaxing,positive
get upset listen,negative
feel much better,positive
learn hard,negative
thrill,positive
nearly grand,neutral
good,positive
forget lucky,neutral
fight back,negative
creative,neutral
good,positive
still figure ride far might well see,neutral
wow,positive
expensive,negative
drop,negative
good,positive
eat wantan n ping,neutral
even apart still hold jonas,neutral
smack,negative
ugliest die,negative
breakfast head black pudding,neutral
bws new,positive
pretty perfect,positive
say,negative
wake end also kinda,neutral
hong kong great crazy english,positive
happy,positive
truong do still hop encore snsd,neutral
really really good,positive
pretty fun,positive
get bad suck,negative
wish could famous act dance,positive
say yayyy hoedown apparently hoe,neutral
good,positive
wait laundry finish go wait,neutral
aw,positive
crappy,negative
lol glad spend try go right,neutral
retard,negative
check work fine,neutral
hop least fun horrible,neutral
abbie second,neutral
get bailey clip,neutral
upload soon,neutral
feel good,negative
oh go last run tarsier sad really cute,neutral
crowd,positive
